77,75,101,293,321,73,204,194,66,247,276,117,356,180,254,
133,331,183,131,161,294,186,267,103,320,74,109,66,94,119,
9,56,1,14,15,188,125,157,41,304,29,48,126,117,168,
327,106,282,85,27,115,303,237,195,345,226,229,216,97,219,
358,112,217,77,282,67,300,264,304,265,75,186,160,193,289,
79,251,164,271,122,4,317,209,359,29,93,211,172,149,91,
252,166,291,306,63,215,235,80,209,288,197,44,8,149,256,
237,91,251,197,24,4,50,261,8,311,8,133,230,59,145,
131,343,290,45,352,235,132,346,178,324,81,182,252,331,164,
48,313,203,215,163,295,294,6,244,98,173,314,57,52,159,
148,175,147,221,187,281,53,145,170,315,99,132,207,219,139,
50,348,176,119,270,229,141,67,49,96,265,154,54,24,69,
243,94,128,18,8,239,83,9,326,263,237,242,26,280,187,
180,27,225,109,283,33,40,9,348,66,193,96,144,179,328,
114,242,221,334,271,275,87,52,177,110,134,292,282,342,243,
24,296,42,9,121,180,125,222,185,258,332,98,286,133,20,
274,344,282,116,342,275,264,257,111,277,130,228,152,302,6,
124,56,98,247,222,266,250,267,261,187,131,92,265,8,292,
